danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.512, 0.809, 0, -4.237, 1, 0.0335, 0.141, 0.0000231, 0.13, 0.433, 154.156, 278640, 4
0.568, 0.796, 11, -5.308, 1, 0.0313, 0.12, 0, 0.084, 0.544, 133.975, 221280, 4
0.686, 0.417, 7, -7.787, 1, 0.0363, 0.606, 0.00000179, 0.0844, 0.45, 82.407, 230600, 3
0.616, 0.706, 0, -6.846, 1, 0.0233, 0.00969, 0.313, 0.111, 0.654, 89.998, 349267, 4
0.651, 0.808, 1, -4.731, 0, 0.0435, 0.054, 0, 0.0482, 0.853, 100.993, 194893, 4
0.543, 0.789, 0, -5.949, 1, 0.0405, 0.224, 0.000199, 0.358, 0.599, 140.081, 211227, 4
0.599, 0.795, 11, -4.47, 0, 0.0302, 0.166, 0.00000423, 0.224, 0.559, 135.97, 271493, 4
0.637, 0.669, 7, -4.608, 1, 0.0237, 0.0919, 0, 0.103, 0.645, 108.078, 205120, 4
0.598, 0.873, 1, -4.135, 1, 0.042, 0.0183, 0, 0.11, 0.431, 98, 189787, 4
0.496, 0.912, 7, -4.28, 1, 0.0393, 0.0407, 0, 0.353, 0.636, 75.016, 226173, 4
0.529, 0.803, 7, -5.379, 1, 0.0389, 0.2, 0, 0.0894, 0.343, 97.043, 215600, 4
0.485, 0.834, 9, -5.413, 1, 0.0715, 0.0665, 0, 0.28, 0.658, 90.933, 211767, 4
0.524, 0.586, 9, -5.431, 1, 0.0262, 0.356, 0, 0.121, 0.287, 101.214, 254293, 4
0.609, 0.813, 0, -5.599, 1, 0.0368, 0.275, 0, 0.205, 0.54, 89.964, 209280, 4
0.456, 0.813, 2, -4.676, 1, 0.0452, 0.319, 0.00000542, 0.0946, 0.645, 185.993, 213453, 5
0.553, 0.882, 6, -5.515, 1, 0.0294, 0.0408, 0.241, 0.146, 0.537, 97.006, 335267, 4
0.561, 0.906, 0, -5.147, 0, 0.0504, 0.0114, 0.00000143, 0.173, 0.409, 113.989, 223451, 4
0.514, 0.659, 1, -6.142, 1, 0.0309, 0.0284, 0, 0.266, 0.445, 76.483, 200040, 4
0.541, 0.505, 2, -8.067, 1, 0.0254, 0.405, 0, 0.131, 0.35, 74.004, 237800, 4
0.539, 0.779, 4, -4.139, 1, 0.0432, 0.247, 0.00000271, 0.386, 0.729, 164.029, 189507, 4
0.572, 0.8, 2, -4.086, 1, 0.0451, 0.0327, 0, 0.0911, 0.507, 156.006, 214547, 4
0.531, 0.746, 11, -4.228, 1, 0.0329, 0.0972, 0, 0.102, 0.314, 139.788, 226307, 4
0.497, 0.805, 11, -3.995, 1, 0.0332, 0.125, 0, 0.167, 0.688, 166.048, 191827, 4
