danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.897, 0.485, 8, -10.363, 1, 0.242, 0.013, 0.00193, 0.133, 0.262, 83.498, 227727, 4
0.835, 0.413, 1, -9.81, 1, 0.395, 0.373, 0.00133, 0.101, 0.114, 149.004, 258880, 4
0.791, 0.647, 0, -6.226, 1, 0.0597, 0.152, 0, 0.139, 0.342, 145.959, 291893, 4
0.886, 0.427, 6, -10.028, 1, 0.145, 0.0312, 0.00099, 0.0906, 0.236, 108.034, 177184, 4
0.886, 0.525, 8, -7.39, 1, 0.132, 0.236, 0, 0.057, 0.711, 145.99, 225205, 4
0.37, 0.786, 0, -6.749, 1, 0.134, 0.306, 0, 0.243, 0.775, 65.568, 175212, 3
0.747, 0.477, 10, -11.062, 0, 0.276, 0.0962, 0, 0.114, 0.339, 93.44, 245227, 4
0.524, 0.505, 11, -8.256, 0, 0.275, 0.0121, 0.00000128, 0.225, 0.3, 189.978, 228027, 4
0.706, 0.716, 7, -4.263, 0, 0.0768, 0.115, 0, 0.316, 0.46, 136.904, 252263, 4
0.886, 0.629, 1, -4.404, 0, 0.306, 0.051, 0.00000766, 0.121, 0.49, 158.002, 182491, 4
0.864, 0.712, 8, -3.891, 1, 0.207, 0.0021, 0.0000747, 0.114, 0.495, 153.568, 237687, 4
0.596, 0.713, 6, -3.121, 1, 0.0425, 0.131, 0, 0.0754, 0.333, 122.908, 239853, 4
0.64, 0.819, 7, -4.108, 1, 0.455, 0.533, 0, 0.156, 0.624, 166.012, 234526, 4
0.795, 0.568, 5, -7.817, 0, 0.142, 0.0541, 0, 0.108, 0.47, 136.173, 198944, 4
0.822, 0.631, 5, -8.305, 1, 0.0552, 0.237, 0, 0.0922, 0.836, 77.994, 128085, 4
0.923, 0.599, 6, -4.888, 1, 0.238, 0.07, 0.00000123, 0.0951, 0.668, 138.024, 181739, 4
0.858, 0.572, 10, -4.164, 0, 0.456, 0.195, 0, 0.548, 0.482, 141.918, 204200, 4
0.833, 0.673, 1, -6.981, 0, 0.315, 0.329, 0, 0.136, 0.763, 148.019, 149080, 4
0.823, 0.617, 7, -8.21, 1, 0.248, 0.0465, 0, 0.11, 0.306, 110.007, 208440, 4
0.827, 0.419, 1, -10.114, 0, 0.332, 0.448, 0.00000125, 0.0964, 0.457, 140.062, 165930, 4
0.652, 0.795, 11, -5.192, 0, 0.174, 0.156, 0, 0.123, 0.788, 135.018, 304607, 4
0.695, 0.777, 6, -2.452, 0, 0.0817, 0.0661, 0, 0.874, 0.373, 135.01, 334253, 4
0.895, 0.536, 6, -8.588, 0, 0.329, 0.122, 0, 0.119, 0.287, 112.892, 288525, 4
0.86, 0.625, 2, -6.922, 1, 0.105, 0.179, 0.000136, 0.3, 0.221, 120.994, 233293, 4
0.852, 0.764, 8, -4.283, 0, 0.0631, 0.0178, 0, 0.336, 0.277, 132.981, 207391, 4
0.615, 0.648, 5, -3.792, 0, 0.22, 0.0411, 0, 0.277, 0.268, 169.912, 223147, 4
0.718, 0.679, 11, -5.899, 0, 0.0706, 0.00191, 0.0104, 0.385, 0.215, 157.97, 173347, 4
0.679, 0.834, 1, -3.79, 1, 0.0958, 0.0373, 0.000111, 0.124, 0.572, 83.166, 225679, 4
0.54, 0.468, 8, -10.53, 1, 0.445, 0.106, 0, 0.0851, 0.519, 189.786, 192995, 4
0.804, 0.65, 7, -7.79, 1, 0.118, 0.0606, 0.0000705, 0.102, 0.391, 117.984, 263373, 4
0.64, 0.428, 8, -6.154, 1, 0.0749, 0.0454, 0.000449, 0.171, 0.178, 110, 174049, 4
0.837, 0.481, 10, -8.522, 0, 0.0801, 0.12, 0, 0.309, 0.563, 122.98, 208398, 4
0.767, 0.501, 8, -7.547, 0, 0.0923, 0.00859, 0.00000146, 0.101, 0.151, 135.031, 170680, 4
0.717, 0.516, 10, -6.466, 0, 0.0601, 0.0794, 0, 0.164, 0.263, 127.026, 228905, 4
0.714, 0.566, 7, -4.408, 1, 0.056, 0.142, 0.00000125, 0.57, 0.429, 113.074, 135920, 4
0.772, 0.701, 0, -6.605, 0, 0.0724, 0.0581, 0.00159, 0.106, 0.707, 159.954, 218947, 4
0.577, 0.468, 4, -6.115, 1, 0.0822, 0.345, 0.00838, 0.1, 0.232, 158.061, 262344, 4
0.758, 0.532, 1, -9.657, 1, 0.0452, 0.0316, 0.00104, 0.246, 0.0876, 116.621, 341934, 4
0.57, 0.86, 1, -5.075, 0, 0.438, 0.312, 0, 0.123, 0.492, 152.797, 253787, 4
0.477, 0.647, 3, -4.657, 0, 0.343, 0.0872, 0, 0.119, 0.562, 109.879, 252307, 4
0.921, 0.373, 6, -11.513, 1, 0.328, 0.212, 0, 0.105, 0.18, 125.981, 215373, 4
0.887, 0.336, 5, -9.62, 0, 0.418, 0.0152, 0.0000461, 0.0962, 0.209, 139.941, 226240, 4
0.492, 0.654, 0, -6.694, 1, 0.179, 0.0568, 0, 0.0964, 0.369, 102.013, 215297, 4
0.563, 0.414, 0, -11.409, 1, 0.37, 0.0298, 0, 0.0854, 0.452, 193.549, 235652, 4
