danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.752, 0.897, 11, -1.887, 0, 0.032, 0.249, 0.000126, 0.164, 0.966, 119.753, 200213, 4
0.746, 0.839, 9, -4.156, 0, 0.0298, 0.0046, 0.0000931, 0.0897, 0.759, 121.923, 213067, 4
0.539, 0.885, 9, -5.992, 1, 0.0328, 0.00184, 0.0723, 0.305, 0.421, 144.979, 224405, 4
0.971, 0.4, 4, -7.154, 0, 0.0487, 0.0833, 0.000661, 0.108, 0.641, 119.953, 204760, 4
0.603, 0.756, 0, -8.005, 1, 0.035, 0.156, 0.866, 0.11, 0.149, 116.049, 233927, 4
0.629, 0.712, 10, -8.158, 1, 0.0356, 0.0474, 0.00431, 0.128, 0.375, 105.983, 297787, 4
0.589, 0.776, 0, -6.314, 1, 0.0284, 0.0301, 0.00565, 0.0862, 0.637, 113.963, 264031, 4
0.564, 0.778, 9, -6.763, 1, 0.0369, 0.000101, 0.00682, 0.0661, 0.615, 120.012, 187053, 4
0.465, 0.874, 5, -4.017, 1, 0.0291, 0.000663, 0.0000274, 0.369, 0.596, 157.996, 255326, 4
0.707, 0.879, 7, -5.876, 0, 0.0615, 0.0219, 0.373, 0.0585, 0.682, 139.932, 227095, 4
0.475, 0.425, 9, -13.116, 1, 0.0913, 0.913, 0.103, 0.362, 0.554, 135.962, 159320, 4
0.507, 0.891, 6, -3.951, 1, 0.0304, 0.00769, 0.297, 0.0776, 0.703, 141.99, 207787, 4
0.641, 0.853, 6, -5.669, 1, 0.0433, 0.000679, 0.00628, 0.0864, 0.681, 144.099, 167352, 4
0.483, 0.804, 8, -3.452, 1, 0.0501, 0.0356, 0.0000016, 0.0736, 0.803, 73.048, 229893, 4
0.721, 0.507, 9, -7.439, 1, 0.028, 0.54, 0.00000394, 0.114, 0.416, 116.05, 192893, 4
0.594, 0.697, 10, -6.475, 1, 0.0738, 0.799, 0.0105, 0.0961, 0.294, 120.016, 217588, 4
0.617, 0.629, 1, -5.826, 1, 0.0321, 0.00167, 0.000037, 0.0729, 0.682, 100.066, 198600, 4
0.575, 0.901, 4, -5.582, 1, 0.0328, 0.000699, 0.000472, 0.211, 0.774, 149.97, 227587, 4
0.58, 0.666, 2, -6.314, 1, 0.0305, 0.237, 0.0000255, 0.125, 0.283, 124.964, 212383, 4
0.887, 0.383, 1, -7.547, 0, 0.0689, 0.0274, 0.0195, 0.0867, 0.689, 113.96, 186640, 4
0.468, 0.869, 9, -4.278, 1, 0.0485, 0.00594, 0.0000119, 0.121, 0.227, 132.067, 211427, 4
0.565, 0.818, 8, -6.202, 0, 0.0661, 0.0767, 0, 0.0402, 0.711, 103.342, 206173, 4
0.486, 0.876, 0, -4.289, 1, 0.0386, 0.144, 0.011, 0.11, 0.318, 163.997, 229009, 4
0.607, 0.796, 2, -5.524, 0, 0.029, 0.00662, 0.00771, 0.352, 0.756, 93.984, 230853, 4
0.58, 0.553, 8, -6.047, 1, 0.0272, 0.38, 0.14, 0.0625, 0.406, 139.977, 195213, 4
0.853, 0.353, 9, -12.146, 0, 0.043, 0.416, 0.00614, 0.0987, 0.148, 103.989, 188717, 4
0.628, 0.83, 5, -4.13, 1, 0.0386, 0.223, 0, 0.151, 0.708, 104.97, 197625, 4
0.577, 0.927, 7, -4.218, 1, 0.0337, 0.0818, 0.00000722, 0.0784, 0.601, 123.042, 214897, 4
0.553, 0.882, 2, -4.419, 1, 0.0346, 0.0561, 0.000661, 0.054, 0.873, 143.494, 176213, 4
0.459, 0.702, 9, -9.255, 1, 0.07, 0.00655, 0.0000188, 0.11, 0.663, 148.161, 155787, 4
0.606, 0.572, 4, -8.661, 1, 0.0369, 0.0043, 0.000519, 0.0929, 0.51, 121.009, 253067, 4
0.593, 0.926, 6, -5.361, 0, 0.0319, 0.0355, 0.0582, 0.311, 0.943, 100.011, 184347, 4
