danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.748, 0.524, 8, -5.599, 1, 0.0338, 0.414, 0, 0.111, 0.635, 95.01, 244960, 4
0.602, 0.797, 6, -5.084, 0, 0.0534, 0.055, 0, 0.187, 0.487, 92.928, 185360, 4
0.712, 0.62, 4, -4.187, 1, 0.0888, 0.39, 0, 0.0994, 0.519, 99.953, 181880, 4
0.448, 0.817, 10, -4.069, 0, 0.386, 0.128, 0, 0.105, 0.718, 83.015, 187973, 4
0.652, 0.713, 8, -5.311, 1, 0.0368, 0.0771, 0.0000102, 0.144, 0.147, 100.023, 205947, 4
0.501, 0.519, 4, -5.88, 0, 0.0409, 0.109, 0, 0.454, 0.157, 133.99, 195707, 4
0.732, 0.396, 4, -9.348, 0, 0.0286, 0.0841, 0.0000358, 0.105, 0.547, 90.024, 195920, 4
0.636, 0.728, 9, -5.871, 1, 0.0999, 0.0153, 0.00000146, 0.154, 0.384, 107.986, 244453, 4
0.63, 0.928, 9, -2.787, 0, 0.0331, 0.199, 0.124, 0.148, 0.46, 123.963, 222160, 4
0.695, 0.672, 1, -6.109, 0, 0.0345, 0.014, 0.0000844, 0.0756, 0.272, 104.988, 235827, 4
0.513, 0.768, 4, -4.868, 0, 0.0587, 0.0118, 0.0000194, 0.294, 0.235, 84.264, 210580, 4
0.681, 0.774, 1, -3.167, 0, 0.0787, 0.0992, 0, 0.35, 0.289, 102.924, 162425, 4
0.591, 0.741, 0, -5.751, 1, 0.139, 0.0294, 0, 0.11, 0.439, 97.048, 230227, 4
0.532, 0.869, 11, -5.094, 1, 0.172, 0.157, 0.00508, 0.136, 0.419, 159.803, 208373, 4
0.804, 0.65, 7, -7.79, 1, 0.118, 0.0606, 0.0000705, 0.102, 0.391, 117.984, 263373, 4
0.649, 0.918, 7, -2.164, 0, 0.0636, 0.0254, 0.0000195, 0.131, 0.368, 126, 239322, 4
0.645, 0.713, 6, -5.355, 1, 0.0393, 0.00835, 0, 0.113, 0.58, 74.989, 214507, 4
