danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.503, 0.984, 9, -1.65, 1, 0.112, 0.000359, 0.00000218, 0.409, 0.369, 127.484, 205440, 4
0.726, 0.861, 6, -5.172, 1, 0.0695, 0.277, 0.00000412, 0.0589, 0.71, 91.962, 243413, 4
0.7, 0.742, 5, -6.777, 0, 0.0716, 0.0722, 0.0199, 0.11, 0.21, 91.959, 302000, 4
0.541, 0.847, 11, -6.52, 1, 0.0297, 0.303, 0.271, 0.109, 0.625, 148.937, 220609, 4
0.502, 0.966, 0, -3.876, 1, 0.0946, 0.00575, 0.00000156, 0.117, 0.635, 159.948, 235613, 4
0.732, 0.396, 4, -9.348, 0, 0.0286, 0.0841, 0.0000358, 0.105, 0.547, 90.024, 195920, 4
0.568, 0.735, 5, -3.363, 1, 0.0419, 0.00213, 0.00913, 0.0555, 0.55, 98.022, 165347, 4
0.442, 0.892, 9, -6.431, 0, 0.086, 0.00267, 0.00000792, 0.0758, 0.258, 151.914, 239451, 4
0.231, 0.919, 2, -6.182, 0, 0.0728, 0.00314, 0.00451, 0.0643, 0.126, 146.944, 300720, 4
0.518, 0.947, 5, -2.979, 1, 0.0396, 0.00153, 0, 0.336, 0.638, 141.023, 213947, 4
0.543, 0.991, 9, -2.78, 0, 0.0668, 0.000168, 0.0000131, 0.374, 0.772, 150.031, 225680, 4
0.507, 0.611, 10, -5.903, 1, 0.0314, 0.00246, 0, 0.196, 0.414, 91.159, 228880, 4
0.696, 0.62, 1, -8.346, 1, 0.0346, 0.0169, 0.176, 0.349, 0.665, 111.994, 280415, 4
0.59, 0.578, 10, -5.798, 0, 0.0528, 0.612, 0.000162, 0.0837, 0.262, 81.663, 219560, 4
0.561, 0.896, 8, -3.55, 1, 0.0586, 0.00119, 0, 0.298, 0.648, 126.01, 213853, 4
0.478, 0.934, 5, -5.51, 0, 0.049, 0.000985, 0.00166, 0.258, 0.875, 200.054, 190181, 4
0.579, 0.973, 5, -2.152, 0, 0.09, 0.000145, 0.0567, 0.226, 0.665, 116.025, 237347, 4
0.55, 0.917, 7, -4.575, 1, 0.0378, 0.0000185, 0.214, 0.0333, 0.247, 109.552, 238653, 3
0.426, 0.934, 7, -4.063, 0, 0.0685, 0.0000297, 0.0089, 0.113, 0.285, 160.077, 262013, 4
0.449, 0.971, 10, -3.66, 1, 0.0476, 0.00273, 0, 0.141, 0.416, 144.031, 210707, 4
